City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,uturoa,-16.7333,-151.4333,28.18,75,20,3.95,PF,1713974644
158,roshchino,60.2519,29.6085,3.44,72,94,1.87,RU,1713974644
159,bata,1.8639,9.7658,26.92,94,75,2.06,GQ,1713974644
160,tiassale,5.8983,-4.8283,35.89,41,89,2.32,CI,1713974644
161,novo aripuana,-5.1206,-60.3797,24.99,96,90,1.64,BR,1713974644
162,codrington,-38.2667,141.9667,12.18,82,55,5.07,AU,1713974644
163,kapuskasing,49.4169,-82.4331,-6.95,45,0,3.6,CA,1713974644
164,eydhafushi,5.1033,73.0708,28.99,74,93,3.26,MV,1713974645
165,hamilton,39.1834,-84.5333,17.56,66,75,5.14,US,1713974592
166,souillac,-20.5167,57.5167,26.21,89,40,2.57,MU,1713974645
167,derzhavinsk,51.1,66.3167,11.78,55,85,9.26,KZ,1713974645
168,talcahuano,-36.7167,-73.1167,12.82,71,0,2.06,CL,1713974296
169,sao jose de ribamar,-2.5619,-44.0542,31.21,78,97,1.83,BR,1713974645
170,tabas,33.5959,56.9244,19.05,56,89,3.62,IR,1713974645
171,macia,-25.0269,33.0989,22.58,90,40,2.8,MZ,1713974636
172,pisco,-13.7,-76.2167,23.03,73,40,2.06,PE,1713974646
173,san patricio,28.017,-97.5169,26.97,66,45,6.1,US,1713974646
174,udachny,66.4167,112.4,-13.08,94,51,3.25,RU,1713974646
175,kuala belait,4.5833,114.1833,26.09,87,100,1.01,BN,1713974646
176,bryne,58.7354,5.6477,8.3,58,0,8.75,NO,1713974480
177,holualoa,19.6228,-155.9522,20.91,91,100,2.06,US,1713974646
178,vila velha,-20.3297,-40.2925,32.97,72,0,4.92,BR,1713974283
179,hithadhoo,-0.6,73.0833,29.35,75,65,5.67,MV,1713974647
180,nuuk,64.1835,-51.7216,1.34,93,75,19.03,GL,1713974647
181,port elizabeth,-33.918,25.5701,18.94,88,100,7.2,ZA,1713974647
182,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,74,0,8.05,RU,1713974647
183,rouached,36.4577,6.0427,12.5,35,8,3.59,DZ,1713974647
184,boda,4.3189,17.4695,28.68,61,100,4.22,CF,1713974647
185,sibi,29.5448,67.8764,33.92,15,1,1.75,PK,1713974648
186,kodinar,20.7903,70.7031,26.75,74,0,5.08,IN,1713974648
187,saint-philippe,-21.3585,55.7679,25.77,84,38,3.8,RE,1713974648
188,'ain el melh,34.8415,4.1638,15.75,23,2,6.33,DZ,1713974648
189,port augusta,-32.5,137.7667,12.12,64,99,3.94,AU,1713974648
190,yellowknife,62.456,-114.3525,2.45,75,75,4.63,CA,1713974648
191,fuding,27.3273,120.214,17.5,91,100,0.69,CN,1713974648
192,minas de marcona,-15.2119,-75.1103,20.99,62,100,5.83,PE,1713974648
193,vilyuchinsk,52.9306,158.4028,3.15,69,100,5.42,RU,1713974547
194,vilyuysk,63.7553,121.6247,-6.67,87,93,4.92,RU,1713974649
195,tazovsky,67.4667,78.7,-11.18,99,65,2.57,RU,1713974649
196,la ronge,55.1001,-105.2842,6.14,52,40,5.14,CA,1713974597
197,jamestown,42.097,-79.2353,8.07,100,100,4.63,US,1713974623
198,vilhena,-12.7406,-60.1458,29.12,74,40,3.6,BR,1713974624
199,puerto ayora,-0.7393,-90.3518,28.98,76,52,3.66,EC,1713974649
200,bengkulu,-3.8004,102.2655,25.94,91,91,1.76,ID,1713974650
201,tahe,52.3333,124.7333,3.82,92,93,0.65,CN,1713974650
202,east london,-33.0153,27.9116,17.52,94,100,4.12,ZA,1713974650
203,afaahiti,-17.75,-149.2833,25.93,81,58,3.15,PF,1713974650
204,cromwell,41.5951,-72.6454,18.71,62,100,2.77,US,1713974408
205,howrah,22.5892,88.3103,34.0,52,40,4.63,IN,1713974650
206,san isidro,-12.1167,-77.05,20.77,83,100,2.57,PE,1713974650
207,albox,37.3886,-2.1495,21.85,42,31,5.25,ES,1713974651
208,oroqen zizhiqi,50.5667,123.7167,7.88,56,100,1.34,CN,1713974651
209,santander,43.4647,-3.8044,14.22,64,20,4.12,ES,1713974432
210,nawada,24.8833,85.5333,32.08,14,0,1.91,IN,1713974651
211,tarko-sale,64.9225,77.785,-9.96,96,96,2.87,RU,1713974594
212,warmbad,-28.45,18.7333,29.0,21,98,5.21,NA,1713974651
213,fortaleza,-3.7227,-38.5247,31.15,87,40,5.66,BR,1713974537
214,alice springs,-23.7,133.8833,11.75,76,0,2.57,AU,1713974651
215,nova sintra,14.8667,-24.7167,23.24,75,9,4.34,CV,1713974652
216,zuyevka,58.405,51.1335,7.89,96,100,1.84,RU,1713974652
217,longyearbyen,78.2186,15.6401,-0.09,69,0,2.06,SJ,1713974652
218,nar'yan-mar,67.6713,53.087,-6.61,82,7,5.81,RU,1713974652
219,san luis,-33.295,-66.3356,15.99,61,99,4.12,AR,1713974652
220,dourados,-22.2211,-54.8056,32.13,32,86,3.4,BR,1713974360
221,cestos city,5.46,-9.5828,30.66,67,90,4.73,LR,1713974652
222,fort bragg,35.139,-79.006,23.79,44,100,3.09,US,1713974653
223,pointe aux piments,-20.0628,57.5131,26.4,85,85,5.46,MU,1713974653
224,punta arenas,-53.15,-70.9167,7.84,78,75,5.66,CL,1713974602
225,talara,-4.5772,-81.2719,29.42,58,0,9.26,PE,1713974624
226,mangaratiba,-22.9597,-44.0406,34.48,50,31,2.41,BR,1713974653
227,riviere-du-loup,47.8304,-69.5342,1.49,100,100,4.63,CA,1713974515
228,ciudad acuna,29.3232,-100.9522,27.16,66,100,7.72,MX,1713974654
229,callao,-12.0667,-77.15,21.16,83,100,2.57,PE,1713974305
230,tecate,32.5667,-116.6333,14.74,65,37,1.88,MX,1713974390
231,flying fish cove,-10.4217,105.6791,26.82,89,100,3.09,CX,1713974654
232,puerto san jose,13.9256,-90.8244,31.29,60,66,2.19,GT,1713974654
233,makurdi,7.7411,8.5121,40.71,25,72,2.07,NG,1713974654
234,anadyr,64.75,177.4833,-5.72,93,100,4.0,RU,1713974475
235,yaren,-0.5472,166.916,28.58,79,76,4.68,NR,1713974655
236,lagos,6.5833,3.75,31.84,61,58,3.46,NG,1713974370
237,mitu,1.1983,-70.1733,26.44,80,100,0.66,CO,1713974655
238,cabo san lucas,22.8909,-109.9124,31.45,41,97,1.34,MX,1713974599
239,pilsrundale,56.4167,24.0,5.75,94,100,5.31,LV,1713974655
240,scarborough,54.2797,-0.4044,7.76,82,92,1.79,GB,1713974489
241,nishinoomote,30.7333,131.0,18.17,71,100,10.44,JP,1713974656
242,embi,48.8264,58.1442,15.21,87,70,0.89,KZ,1713974656
243,port said,31.2565,32.2841,28.99,58,0,4.63,EG,1713974656
244,kaele,10.1092,14.4508,43.31,10,33,1.75,CM,1713974656
245,zhanibek,49.4167,46.85,17.28,47,100,2.72,KZ,1713974656
246,kavaratti,10.5669,72.642,30.27,64,18,1.73,IN,1713974656
247,feijo,-8.1642,-70.3536,31.81,55,96,1.86,BR,1713974656
248,morondava,-20.2833,44.2833,26.66,71,0,5.38,MG,1713974657
249,esquel,-42.9,-71.3167,7.53,83,100,2.04,AR,1713974445
250,happy valley-goose bay,53.3168,-60.3315,11.17,35,100,6.17,CA,1713974657
251,yayladagi,35.9025,36.0627,25.79,33,43,0.96,TR,1713974657
252,gao,16.6362,1.637,43.3,8,2,6.42,ML,1713974469
253,bernhardswald,49.1,12.25,8.58,64,93,4.02,DE,1713974657
254,guntakal junction,15.1667,77.3833,34.21,17,4,7.23,IN,1713974657
255,belmonte,-15.8631,-38.8828,27.29,83,80,2.48,BR,1713974512
256,valencia,39.3333,-0.8333,22.66,17,0,3.88,ES,1713974407
257,zhumysker,49.3333,49.4,15.72,50,14,4.1,KZ,1713974658
258,broome,42.2506,-75.833,13.82,75,100,3.6,US,1713974503
259,am timan,11.0297,20.2827,41.94,11,20,0.93,TD,1713974658
260,nadi,-17.8,177.4167,25.0,88,20,2.57,FJ,1713974658
261,mata-utu,-13.2816,-176.1745,29.21,75,25,3.65,WF,1713974659
262,miguel calmon,-11.4289,-40.595,30.36,52,65,2.83,BR,1713974659
263,selfoss,63.9331,-20.9971,12.25,68,84,3.7,IS,1713974659
264,pangai,-19.8,-174.35,27.01,83,10,1.16,TO,1713974659
265,aldinga beach,-35.2793,138.4604,12.04,80,12,2.15,AU,1713974659
266,kavieng,-2.5744,150.7967,27.4,81,100,2.92,PG,1713974660
267,kapa'a,22.0752,-159.319,22.99,91,100,6.69,US,1713974660
268,coquimbo,-29.9533,-71.3436,15.85,82,75,3.09,CL,1713974395
269,puerto baquerizo moreno,-0.9,-89.6,27.55,78,20,4.63,EC,1713974534
270,smidovich,48.6,133.8167,11.95,61,100,4.35,RU,1713974660
271,guaruja,-23.9931,-46.2564,31.02,31,0,2.68,BR,1713974468
272,puerto yuca,2.9383,-73.2083,28.7,80,79,1.59,CO,1713974660
273,coracao de jesus,-16.6853,-44.365,31.66,37,25,1.4,BR,1713974660
274,shahzadpur,24.1667,89.6,32.14,25,1,1.37,BD,1713974661
275,vadso,70.0744,29.7487,4.49,87,75,8.23,NO,1713974661
276,tadine,-21.55,167.8833,23.01,87,89,6.98,NC,1713974661
277,bei'an,24.5399,109.533,23.29,88,88,1.73,CN,1713974661
278,yemetsk,63.4721,41.7941,1.41,98,100,2.3,RU,1713974661
279,prince rupert,54.3161,-130.3201,6.05,85,100,9.26,CA,1713974661
280,santana,-0.0583,-51.1817,32.1,66,75,7.2,BR,1713974579
281,santiago de cao,-7.9589,-79.2392,19.07,94,100,4.12,PE,1713974475
282,ganja,40.6828,46.3606,20.48,49,75,2.06,AZ,1713974662
283,brooks,50.5834,-111.8851,12.24,43,20,4.12,CA,1713974410
284,leh,34.1667,77.5833,-4.71,62,75,1.16,IN,1713974662
285,san pedro pochutla,15.7333,-96.4667,32.84,43,82,2.26,MX,1713974659
286,aurora,39.7294,-104.8319,19.39,39,20,4.12,US,1713974404
287,zaranj,30.9667,61.8833,22.98,36,92,6.43,AF,1713974662
288,boguchany,58.3814,97.4531,-5.64,96,67,0.89,RU,1713974663
289,almeirim,-1.5233,-52.5817,31.05,62,43,2.24,BR,1713974663
290,carauari,-4.8828,-66.8958,23.82,98,100,1.34,BR,1713974663
291,rio verde de mato grosso,-18.9181,-54.8442,29.97,48,0,2.36,BR,1713974663
292,dogonbadan,30.3586,50.7981,24.05,35,75,3.09,IR,1713974663
293,bereznik,62.8551,42.7072,2.32,99,100,1.36,RU,1713974624
294,bikenibeu village,1.3673,173.1241,26.98,94,75,4.12,KI,1713974664
295,fada,9.5667,8.3,35.42,21,96,1.59,NG,1713974664
296,katsuura,35.1333,140.3,14.89,94,100,7.17,JP,1713974664
297,puyang chengguanzhen,35.7028,115.0053,18.84,45,99,5.0,CN,1713974664
298,glenwood springs,39.5505,-107.3248,18.37,39,0,3.6,US,1713974499
299,seven pagodas,12.6264,80.1722,30.05,81,13,3.99,IN,1713974664
300,cabedelo,-6.9811,-34.8339,31.37,69,95,5.0,BR,1713974664
301,hadibu,12.65,54.0333,28.9,69,20,1.48,YE,1713974664
302,aripuana,-9.1667,-60.6333,28.87,80,65,1.14,BR,1713974487
303,fria,10.4167,-13.5833,33.45,17,100,1.74,GN,1713974665
304,wakkanai,45.4094,141.6739,7.08,87,100,3.42,JP,1713974665
305,kudahuvadhoo,2.6708,72.8944,28.9,78,100,6.43,MV,1713974665
306,loukhi,66.0764,33.0381,0.31,100,100,2.0,RU,1713974665
307,baganga,7.5739,126.56,26.88,79,69,1.87,PH,1713974666
308,phan thiet,10.9333,108.1,27.07,83,31,1.45,VN,1713974666
309,harper,4.375,-7.7169,30.27,70,95,4.71,LR,1713974666
310,floro,61.5996,5.0328,4.04,75,75,4.12,NO,1713974666
311,kamaishi,39.2667,141.8833,11.48,99,100,3.5,JP,1713974666
312,ribadeo,43.5325,-7.0991,12.12,53,100,2.49,ES,1713974666
313,mana,5.6592,-53.7767,28.94,61,100,3.71,GF,1713974666
314,fuglafjordur,62.244,-6.814,5.26,74,59,6.35,FO,1713974666
315,shibirghan,36.6676,65.7529,28.22,26,81,2.53,AF,1713974667
316,manokwari,-0.8667,134.0833,26.94,74,22,1.5,ID,1713974667
317,grand falls-windsor,48.9332,-55.6649,2.52,85,100,3.82,CA,1713974667
318,kani keli,-12.9536,45.1033,28.59,76,38,4.43,YT,1713974667
319,walvis bay,-22.9575,14.5053,20.53,64,0,5.14,NA,1713974667
320,lishui,28.4604,119.9103,17.98,96,100,1.35,CN,1713974668
